==1449== Lackey, an example Valgrind tool
==1449== Copyright (C) 2002-2017, and GNU GPL'd, by Nicholas Nethercote.
==1449== Using Valgrind-3.15.0 and LibVEX; rerun with -h for copyright info
==1449== Command: ./benchmarks/native/memory_walk
==1449== Parent PID: 554
 L 04000f68,8
I  0400218e,3
I  04002191,3
I  04002194,3
I  04002197,4
I  0400219b,4
I  0400219f,4
I  040021a3,4
I  040021a7,2
I  040021a9,2
I  040021ab,3
I  040021ae,2
I  040021b0,5
 L 0400065c,1
I  040021b5,5
 L 0400065e,2
I  040021ba,4
 L 04000660,8
I  040021be,4
I  040021c2,5
I  040021c7,6
I  040021cd,7
 L 0402e9e8,8
I  040021d4,4
I  040021d8,6
I  040021de,4
I  040021e2,6
I  040021e8,2
I  040021ea,7
I  040021f1,6
I  04002170,4
I  04002174,6
I  04002260,4
 L 04000f78,8
I  04002264,3
 S 0402e030,8
I  04002267,5
I  0400217a,4
I  0400217e,3
I  04002181,6
I  04002187,4
 L 04000f88,8
I  0400218b,3
 L 04000f80,8
I  0400218e,3
I  04002191,3
I  04002194,3
I  04002197,4
I  0400219b,4
I  0400219f,4
I  040021a3,4
I  040021a7,2
I  040021a9,2
I  040021ab,3
I  040021ae,2
I  040021b0,5
 L 040005b4,1
I  040021b5,5
 L 040005b6,2
I  040021ba,4
 L 040005b8,8
I  040021be,4
I  040021c2,5
I  040021c7,6
I  040021cd,7
 L 0402e9e8,8
I  040021d4,4
I  040021d8,6
I  040021de,4
I  040021e2,6
I  040021e8,2
I  040021ea,7
I  040021f1,6
I  04002170,4
I  04002174,6
I  04002260,4
 L 04000f90,8
I  04002264,3
 S 0402e038,8
I  04002267,5
I  0400217a,4
I  0400217e,3
I  04002181,6
I  04002187,4
 L 04000fa0,8
I  0400218b,3
 L 04000f98,8
I  0400218e,3
I  04002191,3
I  04002194,3
I  04002197,4
I  0400219b,4
I  0400219f,4
I  040021a3,4
I  040021a7,2
I  040021a9,2
I  040021ab,3
I  040021ae,2
I  040021b0,5
 L 040006ec,1
I  040021b5,5
 L 040006ee,2
I  040021ba,4
 L 040006f0,8
I  040021be,4
I  040021c2,5
I  040021c7,6
I  040021cd,7
 L 0402e9e8,8
I  040021d4,4
I  040021d8,6
I  040021de,4
I  040021e2,6
I  040021e8,2
I  040021ea,7
I  040021f1,6
I  04002170,4
I  04002174,6
I  04002260,4
 L 04000fa8,8
I  04002264,3
 S 0402e040,8
I  04002267,5
I  0400217a,4
I  0400217e,3
I  04002181,6
I  04002187,4
 L 04000fb8,8
I  0400218b,3
 L 04000fb0,8
I  0400218e,3
I  04002191,3
I  04002194,3
I  04002197,4
I  0400219b,4
I  0400219f,4
I  040021a3,4
I  040021a7,2
I  040021a9,2
I  040021ab,3
I  040021ae,2
I  040021b0,5
 L 04000584,1
I  040021b5,5
 L 04000586,2
I  040021ba,4
 L 04000588,8
I  040021be,4
I  040021c2,5
I  040021c7,6
I  040021cd,7
 L 0402e9e8,8
I  040021d4,4
I  040021d8,6
I  040021de,4
I  040021e2,6
I  040021e8,2
I  040021ea,7
I  040021f1,6
I  04002170,4
I  04002174,6
I  04002260,4
 L 04000fc0,8
I  04002264,3
 S 0402e048,8
I  04002267,5
I  0400217a,4
I  0400217e,3
I  04002181,6
I  04001fdb,7
 M 0402ed04,1
I  04001fe2,2
I  04001fe4,7
I  04001feb,4
I  04001fef,3
I  04001ff2,7
 S 0402d5e0,8
I  04001ff9,5
 S 1ffefff958,8
I  0400d0b0,4
I  0400d0b4,7
 L 0402ec88,8
I  0400d0bb,3
I  0400d0be,2
I  0400d0c0,4
 L 0402de90,8
I  0400d0c4,2
 L 040003c8,4
I  0400d0c6,6
 S 0402ecdc,4
I  0400d0cc,3
 L 040003d0,4
I  0400d0cf,3
 L 040003cc,4
I  0400d0d2,4
I  0400d0d6,3
I  0400d0d9,2
I  0400d0db,7
 S 0402ece0,4
I  0400d0e2,2
I  0400d0e4,4
I  0400d0e8,3
I  0400d0eb,3
 L 040003d4,4
I  0400d0ee,4
I  0400d0f2,7
 S 0402ece8,8
I  0400d0f9,7
 S 0402ecf0,8
I  0400d100,4
I  0400d104,6
 S 0402ece4,4
I  0400d10a,7
 S 0402ecf8,8
I  0400d111,1
 L 1ffefff958,8
I  04001ffe,7
I  04002005,3
I  04002008,7
I  0400200f,7
 S 0402ea10,8
I  04002016,7
I  0400201d,7
 S 0402ed38,8
I  04002024,7
I  0400202b,7
 S 0402ed40,8
I  04002032,7
I  04002039,7
 S 0402ed48,8
I  04002040,7
 S 0402de58,8
I  04002047,5
 S 1ffefff958,8
I  0401c700,4
I  0401c704,2
 S 1ffefff950,8
I  0401c706,2
 S 1ffefff948,8
I  0401c708,2
 S 1ffefff940,8
I  0401c70a,2
 S 1ffefff938,8
I  0401c70c,1
 S 1ffefff930,8
I  0401c70d,3
I  0401c710,1
 S 1ffefff928,8
I  0401c711,4
I  0401c715,3
 L 1ffefff9d0,8
I  0401c718,7
 S 0402de58,8
I  0401c71f,4
I  0401c723,7
 S 0402d600,8
